Supplementary Table 2. Phase separation probability of all the reviewed human proteins			
Uniprot	Gene	Probability	Type
Q6ZUT6	CO052	0.455	Other
Q68D86	C102B	0.455	Other
Q9BRT8	CBWD1	0.455	Other
Q6P4E1	CASC4	0.455	Other
Q8N3K9	CMYA5	0.455	Other
P56178	DLX5	0.455	Other
Q2WGN9	GAB4	0.455	Other
Q2VIR3	IF2GL	0.455	Other
P16435	NCPR	0.455	Other
Q2M1Z3	RHG31	0.455	Other
Q13084	RM28	0.455	Other
Q7Z410	TMPS9	0.455	Other
Q70EL4	UBP43	0.455	Other
Q6UXI7	VITRN	0.455	Other
Q8NDZ9	YJ017	0.455	Other
Q9UDV7	ZN282	0.455	Other
Q86SQ7	SDCG8	0.454	Other
Q8TDJ6	DMXL2	0.454	Other
Q13023	AKAP6	0.454	Other
Q9UKP4	ATS7	0.454	Other
Q96MR6	CFA57	0.454	Other
P54803	GALC	0.454	Other
Q9H2X0	CHRD	0.454	Other
Q9C0D6	FHDC1	0.454	Other
Q14CN4	K2C72	0.454	Other
P58215	LOXL3	0.454	Other
Q9UJA3	MCM8	0.454	Other
Q9NT99	LRC4B	0.454	Other
Q96JP2	MY15B	0.454	Other
Q3BBV0	NBPF1	0.454	Other
Q9Y5E4	PCDB5	0.454	Other
Q13046	PSG7	0.454	Other
Q9BRR9	RHG09	0.454	Other
Q9HD15	SRA1	0.454	Other
Q96AH0	SOSB2	0.454	Other
Q9BXT5	TEX15	0.454	Other
Q9P2J2	TUTLA	0.454	Other
Q32MQ0	ZN750	0.454	Other
P02679	FIBG	0.453	Other
Q5T5C0	STXB5	0.453	Other
P49450	CENPA	0.453	Other
Q5SXM2	SNPC4	0.453	Other
Q6PGQ7	BORA	0.453	Other
P16383	GCFC2	0.453	Other
Q8N7Z2	GG6L1	0.453	Other
Q6IE81	JADE1	0.453	Other
Q86VH2	KIF27	0.453	Other
O43148	MCES	0.453	Other
Q13402	MYO7A	0.453	Other
P20742	PZP	0.453	Other
Q8N9U9	SPOT1	0.453	Other
Q5QJ38	TCHL1	0.453	Other
Q9UFD9	RIM3A	0.452	Other
Q9UIV1	CNOT7	0.452	Other
P14649	MYL6B	0.452	Other
Q2M3G0	ABCB5	0.452	Other
Q86UQ4	ABCAD	0.452	Other
Q13568	IRF5	0.452	Other
Q6PID8	KLD10	0.452	Other
Q2TV78	MST1L	0.452	Other
Q92786	PROX1	0.452	Other
Q8NDX1	PSD4	0.452	Other
Q9NW07	ZN358	0.452	Other
Q96SQ5	ZN587	0.452	Other
Q5T0B9	ZN362	0.452	Other
Q9P2E2	KIF17	0.451	Other
P14927	QCR7	0.451	Other
O75382	TRIM3	0.451	Other
Q9UPZ6	THS7A	0.451	Other
Q9C0I3	CCSE1	0.451	Other
Q5RHP9	ERIC3	0.451	Other
O15353	FOXN1	0.451	Other
Q7Z7B0	FLIP1	0.451	Other
Q9Y5E6	PCDB3	0.451	Other
O00370	LORF2	0.451	Other
Q9BZW7	TSG10	0.451	Other
Q15386	UBE3C	0.45	Other
Q14674	ESPL1	0.45	Other
O43301	HS12A	0.45	Other
Q9UPW5	CBPC1	0.45	Other
P57737	CORO7	0.45	Other
Q5DX21	IGS11	0.45	Other
P53778	MK12	0.45	Other
Q15072	OZF	0.45	Other
Q9NPG4	PCD12	0.45	Other
Q9P212	PLCE1	0.45	Other
Q9Y2I9	TBC30	0.45	Other
Q86WZ6	ZN227	0.45	Other
P17017	ZNF14	0.45	Other
P02745	C1QA	0.449	Other
Q8N5S9	KKCC1	0.449	Other
Q9Y592	CEP83	0.449	Other
Q13867	BLMH	0.449	Other
P40199	CEAM6	0.449	Other
Q9P2Q2	FRM4A	0.449	Other
P52926	HMGA2	0.449	Other
P13196	HEM1	0.449	Other
O95948	ONEC2	0.449	Other
O43933	PEX1	0.449	Other
P79522	PRR3	0.449	Other
Q16825	PTN21	0.449	Other
Q15036	SNX17	0.449	Other
Q17RH7	TPRXL	0.449	Other
Q8N972	ZN709	0.449	Other
Q6ZMW2	ZN782	0.449	Other
Q16698	DECR	0.448	Other
Q9NV58	RN19A	0.448	Other
Q9H6R0	DHX33	0.448	Other
O95490	LPHN2	0.448	Other
P41594	GRM5	0.448	Other
O14672	ADA10	0.448	Other
Q13489	BIRC3	0.448	Other
Q5T9S5	CCD18	0.448	Other
Q5SZD1	CF141	0.448	Other
P0CG41	CTGE8	0.448	Other
Q16527	CSRP2	0.448	Other
Q8N1I0	DOCK4	0.448	Other
Q3MIW9	DPCR1	0.448	Other
Q9NZW4	DSPP	0.448	Other
Q5VZ66	JKIP3	0.448	Other
A5PL33	KRBA1	0.448	Other
O14513	NCKP5	0.448	Other
Q9HB19	PKHA2	0.448	Other
P26045	PTN3	0.448	Other
P07602	SAP	0.448	Other
O60522	TDRD6	0.447	Other
P05165	PCCA	0.447	Other
Q3SY89	EA3L1	0.447	Other
Q9UJC3	HOOK1	0.447	Other
Q9HCH3	CPNE5	0.447	Other
O95169	NDUB8	0.447	Other
Q9HAV0	GBB4	0.447	Other
Q9Y4F3	MARF1	0.447	Other
Q969X6	CIR1A	0.447	Other
A6QL64	AN36A	0.447	Other
Q9NR71	ASAH2	0.447	Other
Q8N6Y1	PCD20	0.447	Other
P42702	LIFR	0.447	Other
P78386	KRT85	0.447	Other
Q5VYJ5	MALR1	0.447	Other
P61457	PHS	0.447	Other
Q9BTL3	RAM	0.447	Other
Q8N3T6	T132C	0.447	Other
Q70EK8	UBP53	0.447	Other
P15692	VEGFA	0.447	Other
Q9C0F3	ZN436	0.447	Other
Q5JPB2	ZN831	0.447	Other
Q9UIW2	PLXA1	0.446	Other
Q9UGP5	DPOLL	0.446	Other
Q8N8A6	DDX51	0.446	Other
Q9HC98	NEK6	0.446	Other
Q16799	RTN1	0.446	Other
O60814	H2B1K	0.446	Other
Q8TF21	ANR24	0.446	Other
C9J069	CI172	0.446	Other
P68871	HBB	0.446	Other
P01889	1B07	0.446	Other
O95376	ARI2	0.446	Other
Q7Z2Z2	ETUD1	0.446	Other
Q9BQW3	COE4	0.446	Other
Q5JSL3	DOC11	0.446	Other
O95302	FKBP9	0.446	Other
Q0VF49	K2012	0.446	Other
Q9NRR6	INP5E	0.446	Other
P50221	MEOX1	0.446	Other
Q9Y4X4	KLF12	0.446	Other
Q9UL68	MYT1L	0.446	Other
Q9Y5E1	PCDB9	0.446	Other
Q9H2H8	PPIL3	0.446	Other
Q8N196	SIX5	0.446	Other
Q52LW3	RHG29	0.446	Other
Q5VT97	SYDE2	0.446	Other
Q96NG3	TTC25	0.446	Other
P17019	ZN708	0.446	Other
Q9Y4E6	WDR7	0.445	Other
Q8TEY7	UBP33	0.445	Other
Q13733	AT1A4	0.445	Other
Q14644	RASA3	0.445	Other
Q9NX95	SYBU	0.445	Other
Q5T1N1	AKND1	0.445	Other
A2A2Z9	AN18B	0.445	Other
P54756	EPHA5	0.445	Other
Q01581	HMCS1	0.445	Other
P00492	HPRT	0.445	Other
Q86UK5	LBN	0.445	Other
P0DME0	SETLP	0.445	Other
Q7Z7C8	TAF8	0.445	Other
A7MCY6	TBKB1	0.445	Other
Q9H3H9	TCAL2	0.445	Other
P51805	PLXA3	0.444	Other
Q99250	SCN2A	0.444	Other
Q5VU65	P210L	0.444	Other
O00217	NDUS8	0.444	Other
P47895	AL1A3	0.444	Other
Q9UHC1	MLH3	0.444	Other
Q99217	AMELX	0.444	Other
O15194	CTDSL	0.444	Other
Q6KB66	K2C80	0.444	Other
Q5VV43	K0319	0.444	Other
Q9BXR3	POK6	0.444	Other
A8MU46	SMTL1	0.444	Other
Q86VY4	TSYL5	0.444	Other
Q9HCK1	ZDBF2	0.444	Other
P59923	ZN445	0.444	Other
Q3KP31	ZN791	0.444	Other
Q6ZN08	ZNF66	0.444	Other
Q96B36	AKTS1	0.443	Other
Q9BVC4	LST8	0.443	Other
P42263	GRIA3	0.443	Other
Q15004	PAF15	0.443	Other
Q9NU02	ANKE1	0.443	Other
Q96BY7	ATG2B	0.443	Other
Q9Y5P4	C43BP	0.443	Other
A6NLF2	EA3L2	0.443	Other
Q96N23	CFA54	0.443	Other
Q96A84	EMID1	0.443	Other
Q03113	GNA12	0.443	Other
P37235	HPCL1	0.443	Other
Q9GZT8	GTPC1	0.443	Other
P55771	PAX9	0.443	Other
Q9UH65	SWP70	0.443	Other
Q14166	TTL12	0.443	Other
Q5VTH9	WDR78	0.443	Other
Q6ZR54	YN009	0.443	Other
P52746	ZN142	0.443	Other
Q86YA3	ZGRF1	0.443	Other
Q03923	ZNF85	0.443	Other
P52737	ZN136	0.443	Other
A8MXY4	ZNF99	0.443	Other
P09110	THIK	0.442	Other
Q9UPP5	K1107	0.442	Other
P06729	CD2	0.442	Other
Q8ND23	LR16B	0.442	Other
Q13217	DNJC3	0.442	Other
Q6P6B1	ERIC5	0.442	Other
Q8IYT1	FA71A	0.442	Other
Q9BTK6	PAGR1	0.442	Other
A2RUB1	CQ104	0.442	Other
Q14CX7	NAA25	0.442	Other
Q9NZC9	SMAL1	0.442	Other
Q3SY00	T10IP	0.442	Other
Q8N7Q3	ZN676	0.442	Other
Q9H8N7	ZN395	0.442	Other
Q8ND25	ZNRF1	0.442	Other
P08708	RS17	0.441	Other
Q9Y4E5	ZN451	0.441	Other
O14773	TPP1	0.441	Other
Q8TCU6	PREX1	0.441	Other
Q6PFW1	VIP1	0.441	Other
O43236	4-Sep	0.441	Other
P04439	1A03	0.441	Other
Q4L180	FIL1L	0.441	Other
Q9UIM3	FKBPL	0.441	Other
Q5VTD9	GFI1B	0.441	Other
Q13064	MKRN3	0.441	Other
Q9NYA4	MTMR4	0.441	Other
Q7Z5H3	RHG22	0.441	Other
Q4G0T1	SRCRM	0.441	Other
Q86UZ6	ZBT46	0.441	Other
Q9UJW8	ZN180	0.441	Other
Q6ZN19	ZN841	0.441	Other
P48058	GRIA4	0.44	Other
O43678	NDUA2	0.44	Other
O95140	MFN2	0.44	Other
Q9UI95	MD2L2	0.44	Other
Q96PM9	Z385A	0.44	Other
P35498	SCN1A	0.44	Other
O95342	ABCBB	0.44	Other
P29322	EPHA8	0.44	Other
Q5F1R6	DJC21	0.44	Other
O43559	FRS3	0.44	Other
H0YM25	GG6LV	0.44	Other
P53708	ITA8	0.44	Other
Q9NXC5	MIO	0.44	Other
O00754	MA2B1	0.44	Other
O15068	MCF2L	0.44	Other
A8MRT5	NPIB5	0.44	Other
O60285	NUAK1	0.44	Other
Q6UWI2	PARM1	0.44	Other
Q9BTU6	P4K2A	0.44	Other
Q9WJR5	POK19	0.44	Other
Q14242	SELPL	0.44	Other
Q9H4F8	SMOC1	0.44	Other
Q86YV0	RASL3	0.44	Other
Q9P1V8	SAM15	0.44	Other
Q3C1V9	YK041	0.44	Other
Q9UJU3	ZN112	0.44	Other
Q86UD4	ZN329	0.44	Other
P17026	ZNF22	0.44	Other
Q8NHU6	TDRD7	0.439	Other
Q15818	NPTX1	0.439	Other
P30613	KPYR	0.439	Other
O60861	GAS7	0.439	Other
Q9H013	ADA19	0.439	Other
P35663	CYLC1	0.439	Other
A8MPP1	D11L8	0.439	Other
P80303	NUCB2	0.439	Other
Q9Y5F3	PCDB1	0.439	Other
P51512	MMP16	0.439	Other
Q9UBC5	MYO1A	0.439	Other
Q86WB0	NIPA	0.439	Other
Q99743	NPAS2	0.439	Other
Q9NZ81	PRR13	0.439	Other
Q7Z6I6	RHG30	0.439	Other
Q9NTX7	RN146	0.439	Other
Q9Y6M7	S4A7	0.439	Other
Q8NDZ2	SIMC1	0.439	Other
O15050	TRNK1	0.439	Other
Q9Y2P7	ZN256	0.439	Other
Q8TF32	ZN431	0.439	Other
Q8N3E9	PLCD3	0.438	Other
P09543	CN37	0.438	Other
Q9NWQ8	PHAG1	0.438	Other
Q86UK0	ABCAC	0.438	Other
Q8N944	AMER3	0.438	Other
O94989	ARHGF	0.438	Other
P56211	ARP19	0.438	Other
A2AJT9	CX023	0.438	Other
Q13216	ERCC8	0.438	Other
Q5T8R8	CI066	0.438	Other
Q9NY33	DPP3	0.438	Other
O94988	FA13A	0.438	Other
Q504T8	MIDN	0.438	Other
Q5TD94	RSH4A	0.438	Other
Q6IQ49	SDE2	0.438	Other
Q9UQ13	SHOC2	0.438	Other
Q9Y6H5	SNCAP	0.438	Other
Q6ZMZ3	SYNE3	0.438	Other
Q9Y6J9	TAF6L	0.438	Other
Q9H3N1	TMX1	0.438	Other
Q8TD23	ZN675	0.438	Other
Q9NY47	CA2D2	0.437	Other
P62310	LSM3	0.437	Other
Q8N4X5	AF1L2	0.437	Other
Q8WXE1	ATRIP	0.437	Other
Q7Z4L5	TT21B	0.437	Other
Q16676	FOXD1	0.437	Other
Q14831	GRM7	0.437	Other
Q6JBY9	CPZIP	0.437	Other
Q15485	FCN2	0.437	Other
Q9UIH9	KLF15	0.437	Other
Q8N653	LZTR1	0.437	Other
Q8N423	LIRB2	0.437	Other
Q8N5Y2	MS3L1	0.437	Other
Q9UKN7	MYO15	0.437	Other
Q6ZS30	NBEL1	0.437	Other
O60902	SHOX2	0.437	Other
Q15561	TEAD4	0.437	Other
Q14106	TOB2	0.437	Other
Q8N3L3	TXLNB	0.437	Other
P15622	ZN250	0.437	Other
A6NP11	ZN716	0.437	Other
P35789	ZNF93	0.437	Other
P0DKX0	ZN728	0.437	Other
Q8IYB9	ZN595	0.437	Other
P17097	ZNF7	0.437	Other
Q8IZU0	FAM9B	0.436	Other
Q9P1A6	DLGP2	0.436	Other
Q9BXX2	AN30B	0.436	Other
O75078	ADA11	0.436	Other
Q8IWK6	GP125	0.436	Other
Q96DR7	ARHGQ	0.436	Other
Q9H8G2	CAAP1	0.436	Other
Q14549	GBX1	0.436	Other
A6NDK9	GOG6C	0.436	Other
Q13255	GRM1	0.436	Other
Q711Q0	CJ071	0.436	Other
Q9Y5R6	DMRT1	0.436	Other
Q9GZY0	NXF2	0.436	Other
P60369	KR103	0.436	Other
Q3BBW0	NBPF9	0.436	Other
Q96F44	TRI11	0.436	Other
Q8N9P0	YF006	0.436	Other
Q9P255	ZN492	0.436	Other
P61218	RPAB2	0.435	Other
Q12791	KCMA1	0.435	Other
Q86SE5	RALYL	0.435	Other
Q9ULJ1	ODF2L	0.435	Other
O75077	ADA23	0.435	Other
Q5VUB5	F1711	0.435	Other
Q15057	ACAP2	0.435	Other
P61758	PFD3	0.435	Other
Q9UL51	HCN2	0.435	Other
Q5H9B9	BM2KL	0.435	Other
Q6PCT2	FXL19	0.435	Other
A6NEY3	GG6L3	0.435	Other
P0C7V0	CF217	0.435	Other
P10589	COT1	0.435	Other
A6NNJ1	F90A9	0.435	Other
Q658T7	F90A2	0.435	Other
Q9NQ38	ISK5	0.435	Other
Q96FF7	YS003	0.435	Other
Q96HA8	NTAQ1	0.435	Other
Q9HC10	OTOF	0.435	Other
Q9NPF4	OSGEP	0.435	Other
O00750	P3C2B	0.435	Other
O95965	ITGBL	0.435	Other
P22460	KCNA5	0.435	Other
Q14533	KRT81	0.435	Other
Q6ZQX7	LIAT1	0.435	Other
Q9Y4K4	M4K5	0.435	Other
Q9BTT6	LRRC1	0.435	Other
O95470	SGPL1	0.435	Other
Q6ZMZ0	RN19B	0.435	Other
Q7Z7L9	ZSCA2	0.435	Other
Q8N3Z6	ZCHC7	0.435	Other
Q8TF45	ZN418	0.435	Other
Q8IYH5	ZZZ3	0.435	Other
Q96AA8	JKIP2	0.434	Other
P11172	UMPS	0.434	Other
P19404	NDUV2	0.434	Other
P09525	ANXA4	0.434	Other
Q9H8M2	BRD9	0.434	Other
Q8IYA2	C144C	0.434	Other
Q6TFL3	CC171	0.434	Other
Q06547	GABP1	0.434	Other
Q9NWQ4	GPT2L	0.434	Other
Q8IUL8	CILP2	0.434	Other
Q5KSL6	DGKK	0.434	Other
Q92784	DPF3	0.434	Other
Q96E09	F122A	0.434	Other
Q9UF56	FXL17	0.434	Other
P31275	HXC12	0.434	Other
Q9Y2M5	KLH20	0.434	Other
Q8N142	PURA1	0.434	Other
Q99932	SPAG8	0.434	Other
Q969S9	RRF2M	0.434	Other
P10828	THB	0.434	Other
O75290	Z780A	0.434	Other
Q86YE8	ZN573	0.434	Other
Q8NDQ6	ZN540	0.434	Other
Q9Y3C6	PPIL1	0.433	Other
Q9C099	LRCC1	0.433	Other
Q9UP79	ATS8	0.433	Other
A2RUR9	C144A	0.433	Other
P00736	C1R	0.433	Other
Q5M9N0	CD158	0.433	Other
O14529	CUX2	0.433	Other
Q9BX10	GTPB2	0.433	Other
Q9UQN3	CHM2B	0.433	Other
Q86TY3	CN037	0.433	Other
Q9C073	F117A	0.433	Other
Q9Y2E5	MA2B2	0.433	Other
Q9BSM1	PCGF1	0.433	Other
A2A3N6	PIPSL	0.433	Other
Q76NI1	VKIND	0.433	Other
Q8IYI8	ZN440	0.433	Other
Q8N7K0	ZN433	0.433	Other
P09467	F16P1	0.432	Other
P61923	COPZ1	0.432	Other
Q8N766	EMC1	0.432	Other
P53365	ARFP2	0.432	Other
P0CG33	GOG6D	0.432	Other
Q8IZA3	H1FOO	0.432	Other
Q9UBL6	CPNE7	0.432	Other
Q8NB78	KDM1B	0.432	Other
P60411	KR109	0.432	Other
B0I1T2	MYO1G	0.432	Other
Q9NSI8	SAMN1	0.432	Other
Q8N554	ZN276	0.432	Other
Q5SVZ6	ZMYM1	0.432	Other
Q68DY1	ZN626	0.432	Other
P17039	ZNF30	0.432	Other
Q9NRF8	PYRG2	0.431	Other
Q6P3X3	TTC27	0.431	Other
Q9UKZ1	CNO11	0.431	Other
Q9H6R4	NOL6	0.431	Other
Q9H0Z9	RBM38	0.431	Other
Q9ULC8	ZDHC8	0.431	Other
Q9UI09	NDUAC	0.431	Other
Q9Y388	RBMX2	0.431	Other
Q9Y4P3	TBL2	0.431	Other
P49768	PSN1	0.431	Other
Q5T2S8	ARMC4	0.431	Other
Q8TDY4	ASAP3	0.431	Other
A6H8M9	CDHR4	0.431	Other
Q7Z6I8	CE024	0.431	Other
Q9H9E3	COG4	0.431	Other
Q99684	GFI1	0.431	Other
P04196	HRG	0.431	Other
Q8NFH3	NUP43	0.431	Other
I0J062	PANO1	0.431	Other
Q8N8D1	PDCD7	0.431	Other
O75563	SKAP2	0.431	Other
O14492	SH2B2	0.431	Other
Q9C093	SPEF2	0.431	Other
Q9H967	WDR76	0.431	Other
Q9UPR6	ZFR2	0.431	Other
Q8NEM1	ZN680	0.431	Other
O43681	ASNA	0.43	Other
Q6ZN17	LN28B	0.43	Other
P30044	PRDX5	0.43	Other
Q96JQ2	CLMN	0.43	Other
Q9NVP4	DZAN1	0.43	Other
Q9HB58	SP110	0.43	Other
Q14139	UBE4A	0.43	Other
P60903	S10AA	0.43	Other
O00305	CACB4	0.43	Other
Q9BV38	WDR18	0.43	Other
Q15052	ARHG6	0.43	Other
Q06546	GABPA	0.43	Other
Q6PRD1	GP179	0.43	Other
Q9UBX3	DIC	0.43	Other
Q6ZR08	DYH12	0.43	Other
Q8N441	FGRL1	0.43	Other
Q96AY3	FKB10	0.43	Other
Q9H4L5	OSBL3	0.43	Other
Q9Y5E5	PCDB4	0.43	Other
Q701N2	KRA55	0.43	Other
Q7Z2Y5	NRK	0.43	Other
Q8IWE2	NXP20	0.43	Other
Q6ZQQ2	S31D1	0.43	Other
Q9BYX2	TBD2A	0.43	Other
Q9BQ70	TCF25	0.43	Other
Q7Z7E8	UB2Q1	0.43	Other
Q15776	ZKSC8	0.43	Other
Q9P2L0	WDR35	0.43	Other
Q8N398	VW5B2	0.43	Other
Q8N8J6	ZN615	0.43	Other
Q8N8E2	ZN513	0.43	Other
Q2M389	WASH7	0.429	Other
Q13936	CAC1C	0.429	Other
O95180	CAC1H	0.429	Other
A6NMT0	DBX1	0.429	Other
O94983	CMTA2	0.429	Other
Q8NHS0	DNJB8	0.429	Other
Q70Z53	F10C1	0.429	Other
Q86XA9	HTR5A	0.429	Other
O15037	KHNYN	0.429	Other
Q9Y5W3	KLF2	0.429	Other
Q9H6A9	PCX3	0.429	Other
P20962	PTMS	0.429	Other
Q6NUJ5	PWP2B	0.429	Other
Q2M3G4	SHRM1	0.429	Other
Q96LT9	RBM40	0.429	Other
Q8HWS3	RFX6	0.429	Other
Q9BYD6	RM01	0.429	Other
Q149N8	SHPRH	0.429	Other
Q2M3V2	SWAHA	0.429	Other
Q6ZQQ6	WDR87	0.429	Other
Q9ULT6	ZNRF3	0.429	Other
Q9NYT6	ZN226	0.429	Other
Q8N8Z8	ZN441	0.429	Other
Q96FJ2	DYL2	0.428	Other
Q5SY16	NOL9	0.428	Other
Q5TF58	IFFO2	0.428	Other
Q6H8Q1	ABLM2	0.428	Other
Q9BXX3	AN30A	0.428	Other
O94817	ATG12	0.428	Other
Q96Q40	CDK15	0.428	Other
Q5ZPR3	CD276	0.428	Other
Q9P2H0	K1377	0.428	Other
P78310	CXAR	0.428	Other
Q7Z2Y8	GVIN1	0.428	Other
Q8NHY3	GA2L2	0.428	Other
Q2TB90	HKDC1	0.428	Other
O60393	NOBOX	0.428	Other
Q9Y2S6	TMA7	0.428	Other
Q6ZRX8	YL004	0.428	Other
Q9P0T4	ZN581	0.428	Other
Q9Y6Q3	ZFP37	0.428	Other
Q9BSG1	ZNF2	0.428	Other
Q96IR2	ZN845	0.428	Other
O14893	GEMI2	0.427	Other
Q99471	PFD5	0.427	Other
Q01433	AMPD2	0.427	Other
Q9NQR7	CC177	0.427	Other
O75477	ERLN1	0.427	Other
Q6PK04	CC137	0.427	Other
Q3MHD2	LSM12	0.427	Other
Q7L8J4	3BP5L	0.427	Other
P54619	AAKG1	0.427	Other
Q16610	ECM1	0.427	Other
Q9Y223	GLCNE	0.427	Other
P0C7W9	F90AE	0.427	Other
Q6U949	IG2AS	0.427	Other
Q9NP74	PALMD	0.427	Other
O43525	KCNQ3	0.427	Other
Q92887	MRP2	0.427	Other
O15439	MRP4	0.427	Other
Q92832	NELL1	0.427	Other
Q9NXX6	NSE4A	0.427	Other
Q15063	POSTN	0.427	Other
P35236	PTN7	0.427	Other
Q70Z35	PREX2	0.427	Other
Q92932	PTPR2	0.427	Other
Q9BVQ7	SPA5L	0.427	Other
Q9NQ03	SCRT2	0.427	Other
O43291	SPIT2	0.427	Other
Q8IWV8	UBR2	0.427	Other
Q14592	ZN460	0.427	Other
O95780	ZN682	0.427	Other
Q9H2M9	RBGPR	0.426	Other
Q9H9A6	LRC40	0.426	Other
A9Z1Z3	FR1L4	0.426	Other
P17483	HXB4	0.426	Other
Q9NXB0	MKS1	0.426	Other
O15553	MEFV	0.426	Other
Q7Z442	PK1L2	0.426	Other
P48147	PPCE	0.426	Other
Q9H930	SP14L	0.426	Other
Q9H147	TDIF1	0.426	Other
O15016	TRI66	0.426	Other
O75346	ZN253	0.426	Other
Q6ZQV5	ZN788	0.426	Other
P28062	PSB8	0.425	Other
Q13884	SNTB1	0.425	Other
P59998	ARPC4	0.425	Other
Q76N32	CEP68	0.425	Other
P07333	CSF1R	0.425	Other
Q8IUH3	RBM45	0.425	Other
O43169	CYB5B	0.425	Other
A7E2U8	CD047	0.425	Other
P14210	HGF	0.425	Other
P27487	DPP4	0.425	Other
Q6IPM2	IQCE	0.425	Other
O14880	MGST3	0.425	Other
O95243	MBD4	0.425	Other
Q13434	MKRN4	0.425	Other
Q02779	M3K10	0.425	Other
Q32MK0	MYLK3	0.425	Other
P0DI83	NARR	0.425	Other
Q9Y5E8	PCDBF	0.425	Other
Q96LD4	TRI47	0.425	Other
Q8NHY6	ZFP28	0.425	Other
Q08AN1	ZN616	0.425	Other
Q8N141	ZFP82	0.425	Other
Q14739	LBR	0.424	Other
O43447	PPIH	0.424	Other
P32322	P5CR1	0.424	Other
O94967	WDR47	0.424	Other
Q8NEF9	SRFB1	0.424	Other
Q15121	PEA15	0.424	Other
Q5JQC9	AKAP4	0.424	Other
Q9NP70	AMBN	0.424	Other
Q8NCU4	K1407	0.424	Other
Q08426	ECHP	0.424	Other
Q9ULE4	F184B	0.424	Other
P34910	EVI2B	0.424	Other
Q9H6T0	ESRP2	0.424	Other
A8MZA4	GG6L6	0.424	Other
P13747	HLAE	0.424	Other
P10914	IRF1	0.424	Other
Q96JA1	LRIG1	0.424	Other
Q99801	NKX31	0.424	Other
Q9H875	PKRI1	0.424	Other
P48739	PIPNB	0.424	Other
P25791	RBTN2	0.424	Other
Q8TCJ2	STT3B	0.424	Other
Q8NBJ7	SUMF2	0.424	Other
Q9H7X3	ZN696	0.424	Other
Q6ZNA1	ZN836	0.424	Other
Q86XN6	ZN761	0.424	Other
O14939	PLD2	0.423	Other
Q99653	CHP1	0.423	Other
Q8NCX0	CC150	0.423	Other
Q9H799	CE042	0.423	Other
O43310	CTIF	0.423	Other
A8MYZ6	FOXO6	0.423	Other
Q96CP2	FWCH2	0.423	Other
Q5T1V6	DDX59	0.423	Other
A6NE21	F90AI	0.423	Other
Q8TE04	PANK1	0.423	Other
Q569H4	LARGN	0.423	Other
Q7Z745	MRO2B	0.423	Other
P13521	SCG2	0.423	Other
Q9UBS9	SUCO	0.423	Other
Q08188	TGM3	0.423	Other
Q6AW86	Z324B	0.423	Other
P17027	ZNF23	0.423	Other
Q86WG5	MTMRD	0.422	Other
Q8N5P1	ZC3H8	0.422	Other
O60241	BAI2	0.422	Other
Q9BWM7	SFXN3	0.422	Other
P00387	NB5R3	0.422	Other
Q7Z628	ARHG8	0.422	Other
Q99941	ATF6B	0.422	Other
P40259	CD79B	0.422	Other
Q6UXA7	CF015	0.422	Other
Q5THR3	EFCB6	0.422	Other
Q13316	DMP1	0.422	Other
Q96M86	DNHD1	0.422	Other
O00602	FCN1	0.422	Other
Q8N257	H2B3B	0.422	Other
P57682	KLF3	0.422	Other
Q76G19	PDZD4	0.422	Other
Q6Q0C0	TRAF7	0.422	Other
Q9Y6N9	USH1C	0.422	Other
Q6ZMV8	ZN730	0.422	Other
P49770	EI2BB	0.421	Other
P53985	MOT1	0.421	Other
P51153	RAB13	0.421	Other
Q96GE4	CEP95	0.421	Other
Q9NVX0	HAUS2	0.421	Other
Q8N5I2	ARRD1	0.421	Other
Q9P1Z9	CC180	0.421	Other
Q9ULV8	CBLC	0.421	Other
Q8IYW2	CFA46	0.421	Other
Q5SRN2	CF010	0.421	Other
P52566	GDIR2	0.421	Other
Q13202	DUS8	0.421	Other
Q08830	FGL1	0.421	Other
A6NDY2	F90AA	0.421	Other
Q04756	HGFA	0.421	Other
Q9Y5Y2	NUBP2	0.421	Other
Q8NCE2	MTMRE	0.421	Other
O75161	NPHP4	0.421	Other
A6NNL0	NTM2B	0.421	Other
Q53SZ7	PRR30	0.421	Other
B8ZZ34	SHSA8	0.421	Other
Q8NDV3	SMC1B	0.421	Other
Q96J01	THOC3	0.421	Other
Q7L945	ZN627	0.421	Other
Q9HCG1	ZN160	0.421	Other
Q9NSJ1	Z355P	0.421	Other
Q96K17	BT3L4	0.42	Other
Q7L099	RUFY3	0.42	Other
Q5CZ79	AN20B	0.42	Other
O75309	CAD16	0.42	Other
Q8NDM7	CFA43	0.42	Other
A6NKC0	F90A7	0.42	Other
Q9NP50	FA60A	0.42	Other
P13985	HRES1	0.42	Other
P16519	NEC2	0.42	Other
Q5K651	SAMD9	0.42	Other
Q14162	SREC	0.42	Other
Q969Z0	TBRG4	0.42	Other
Q569K4	Z385B	0.42	Other
Q96N38	ZN714	0.42	Other
Q96I27	ZN625	0.42	Other
P51523	ZNF84	0.42	Other
O14746	TERT	0.419	Other
P07711	CATL1	0.419	Other
P49754	VPS41	0.419	Other
P60033	CD81	0.419	Other
Q9H171	ZBP1	0.419	Other
P30533	AMRP	0.419	Other
P11766	ADHX	0.419	Other
Q96QS3	ARX	0.419	Other
Q9BY67	CADM1	0.419	Other
Q7Z4F1	LRP10	0.419	Other
